,ape_id,canc_event_id,canc_event_time
0,ApeGang #1245,1476586960,2021-10-21T17:39:00.065954
0,ApeGang #2274,1476165074,2021-10-21T17:02:32.693088
0,ApeGang #5525,1475039701,2021-10-21T15:32:57.868196
0,ApeGang #4383,1475035417,2021-10-21T15:32:37.731280
0,ApeGang #3445,1475009819,2021-10-21T15:30:39.362266
0,ApeGang #422,1474414034,2021-10-21T14:45:00.083423
0,ApeGang #422,1474400240,2021-10-21T14:43:51.908647
0,ApeGang #6750,1474197444,2021-10-21T14:27:37.042602
0,ApeGang #6750,1474180565,2021-10-21T14:26:14.987925
0,ApeGang #512,1473025139,2021-10-21T12:45:58.057931
0,ApeGang #2504,1473024634,2021-10-21T12:45:55.502606
0,ApeGang #4430,1472894216,2021-10-21T12:33:46.251734
0,ApeGang #4829,1472386800,2021-10-21T11:43:47.172043
0,ApeGang #9443,1472226565,2021-10-21T11:28:26.399540
0,ApeGang #8753,1471635629,2021-10-21T10:33:29.301746
0,ApeGang #8753,1471624300,2021-10-21T10:32:26.181474
0,ApeGang #8112,1471158407,2021-10-21T09:50:13.693146
0,ApeGang #8112,1471158439,2021-10-21T09:50:13.859016
0,ApeGang #2848,1470673696,2021-10-21T09:06:17.118914
0,ApeGang #8112,1470153116,2021-10-21T08:18:31.178623
0,ApeGang #4224,1470081341,2021-10-21T08:11:01.715091
0,ApeGang #6505,1469869586,2021-10-21T07:49:47.023195
0,ApeGang #6505,1469868406,2021-10-21T07:49:40.334624
0,ApeGang #1245,1469379428,2021-10-21T07:01:08.654717
0,ApeGang #1245,1469379435,2021-10-21T07:01:08.690343
0,ApeGang #2175,1469367796,2021-10-21T06:59:59.799801
0,ApeGang #6021,1468867774,2021-10-21T06:08:46.768341
0,ApeGang #3,1468802053,2021-10-21T06:02:22.124779
0,ApeGang #2772,1468517689,2021-10-21T05:34:58.140322
0,ApeGang #7485,1467126231,2021-10-21T02:31:33.413768
0,ApeGang #2545,1467026940,2021-10-21T02:20:38.666208
0,ApeGang #7330,1466973957,2021-10-21T02:14:44.166072
0,ApeGang #7374,1465997865,2021-10-21T00:27:12.826281
0,ApeGang #7374,1465880633,2021-10-21T00:14:32.063588
0,ApeGang #5655,1465725936,2021-10-20T23:58:59.107176
0,ApeGang #2805,1465654453,2021-10-20T23:51:32.885497
0,ApeGang #2805,1465654452,2021-10-20T23:51:32.884862
0,ApeGang #2934,1465560178,2021-10-20T23:41:44.982442
0,ApeGang #186,1465146544,2021-10-20T22:57:28.023264
0,ApeGang #186,1465146573,2021-10-20T22:57:28.248531
0,ApeGang #3776,1465143065,2021-10-20T22:57:03.849294
