,sale_id,ape_id,sale_price,sale_time,seller_name,seller_wallet,buyer_name,buyer_wallet
0,1470246435,ApeGang #4226,0.49,2021-10-21T08:27:51.055386,,0xf25018fbf9d07db0e02c36824da7b444bb3c2379,diogopunk3,0xf3ba73e6d3d19cf0405486db3d44404c35b78b80
0,1469983558,ApeGang #9793,0.002,2021-10-21T08:01:12.181661,,0x02dd1c87ccd51bfd12c5e4c04eb3ed9224ea9400,,0x1d516bdec43122415726b676796736caa3cd319d
0,1468894965,ApeGang #2196,0.5,2021-10-21T06:11:33.290535,,0x9fe59ab5ac6c00a80f5c05acd3071a22b61f25bf,GeeMoney,0x0f9ac6fdbc287c7b8d29a139845963e4f513fe15
0,1468769122,ApeGang #2061,0.49,2021-10-21T05:59:06.139219,,0x82b04eb793777a10de5e54b6235396e60d0e4b5f,,0xcfb398f869dab6f1c70c5afb6728612fad06fa8c
0,1468061535,ApeGang #8081,0.5,2021-10-21T04:51:32.215490,,0x4f3553aa0789cbfffa469758284190cd072163bc,,0xaab5612de1413e7ceb0f5deaaf27d3f85852b3b9
0,1468033362,ApeGang #9884,0.48,2021-10-21T04:48:49.110108,,0x55921f7065379b3f36eab192358da8befb4c5d44,JiMMx,0x1b475f9d8a7e994d3809f7eb96b818da8a00f717
0,1467897191,ApeGang #8550,0.488,2021-10-21T04:27:47.224107,,0x149cd83f40581e34701551035fc1cf3bddebcc25,0XUN53R,0xf424dd28154ad4461d075e3374649a85b8362ed0
0,1467853803,ApeGang #213,0.489,2021-10-21T03:59:38.139868,,0xd2e9bc873bbaa026c4fa1a96613d0fe67eb03fc0,dopeadult,0x695e63e22170f10bc46a29722b724d60ae4c0b76
0,1467542236,ApeGang #9884,0.35,2021-10-21T03:18:02.664485,,0x92916f76789e8f9b7e5f5dc26c14b42f10fec5b6,,0x55921f7065379b3f36eab192358da8befb4c5d44
0,1467282549,ApeGang #9526,0.49,2021-10-21T02:48:50.804173,,0xf845272af7ef60ddbe0638e8f1c09320188a6528,shootthismoment,0x0b2910cc5eede0d727edca73a5e60e921554456b
0,1467115852,ApeGang #2158,0.8,2021-10-21T02:30:24.757739,,0x452aef7e7bf5733afc8a9f4b4f9e47cb0a137a6e,,0xa5c7022d7d53b9c885f5d46b29a084a4b6b24efa
0,1467073253,ApeGang #4430,0.9,2021-10-21T02:25:45.488932,,0xfa4e91c7b1e7b01b80c0360f9347765db2a5e122,Eric_1234,0xa2af5d1d52f2cff37887e6d1ad13aefe904f7d65
0,1467036026,ApeGang #5122,0.475,2021-10-21T02:21:39.923216,,0x1622f8e51d6f25bc90b0b386937a690630622a54,MoonRocket1,0x95181454510cccd77ec910146a79bbc5619daf76
0,1466813909,ApeGang #667,2.0,2021-10-21T01:56:40.505297,,0x1b141c34fa61b2eba80d225584562794aaa1f574,silversurfer55443,0x0e23a385a4e591999e403d9d54fb68105508f070
0,1466785017,ApeGang #3643,0.3851,2021-10-21T01:53:39.091997,,0xd11efe96527fda776b1530ad157c8160533cb5e4,,0x56476c5fedbf189051460d6a96d9fd9147ae001c
0,1465939849,ApeGang #5416,0.4,2021-10-21T00:20:53.795738,,0xff7408661302d0c07578e4ca48fc433910f87b25,nappleio,0xbee9d9038e8f0efc0a924961229fd52d9b1af0a1
0,1465919985,ApeGang #8465,0.599,2021-10-21T00:18:46.914003,,0x10c779aafc518c1536a5f171f240f7c1dc80524e,JamesWellington,0xfa468d500aea7f60ae3fbe863883643296c5dc9d
0,1465143137,ApeGang #4235,0.57,2021-10-20T22:57:04.303753,,0x9259dfc94159a0706a04f150e98bbedc3ef23a8c,,0x0c4037b72a0c63340fb530690ea123c612665a34
0,1465132231,ApeGang #8590,0.55,2021-10-20T22:55:48.408082,,0x307a9ed60faabde3c98eabd2903fcf59f4ec16f9,,0x0c4037b72a0c63340fb530690ea123c612665a34
0,1464980873,ApeGang #9367,0.59,2021-10-20T22:38:22.628343,,0x10c779aafc518c1536a5f171f240f7c1dc80524e,,0x0c4037b72a0c63340fb530690ea123c612665a34
0,1464960141,ApeGang #4796,0.59,2021-10-20T22:36:02.566433,,0x313eae64ad8003cf1e6b8fe775a331140fdb64bf,,0x0c4037b72a0c63340fb530690ea123c612665a34
0,1464822101,ApeGang #7461,0.62,2021-10-20T22:20:18.318239,,0x1eacc1960efe0edda5f530a78071d2cf461616f4,bestieslounge,0x0f7453e91c2087aca22f086219a0819a60aabe7b
0,1464800799,ApeGang #9725,0.91,2021-10-20T22:17:53.281108,,0xee5280e9eb7b9d33ca03332db7382b24f4a2d009,Pylons,0xc1a2dde63898cf5496467b3a542acd6ae63118b5
0,1464758609,ApeGang #5181,0.6,2021-10-20T22:13:17.207846,,0x9a5528c54c8ed531186609dae3e99714134420f3,Justlntime14,0xb9ee2733e910ee32d2062b0d2a0b26c95fce8440
0,1464486971,ApeGang #8232,0.6,2021-10-20T21:44:10.233654,,0x4f3553aa0789cbfffa469758284190cd072163bc,ezzy_,0x6f69d13ce25363e3f71bb628b33defe07676a44f
0,1463854087,ApeGang #6039,0.58,2021-10-20T20:37:28.281018,,0x27f5d77151f3bcff8a419d4d8aac5b5548b3e61a,,0x0c4037b72a0c63340fb530690ea123c612665a34
0,1463745494,ApeGang #1375,0.8686,2021-10-20T20:27:12.359611,,0xe9f63730d243bc6df5f5a109328b3f7cc0614d6d,,0x0c4037b72a0c63340fb530690ea123c612665a34
0,1463653778,ApeGang #6505,1.09,2021-10-20T20:17:55.570134,,0xd11efe96527fda776b1530ad157c8160533cb5e4,F_u_23,0x7e1f29b6328d1bf58ed324a2aa349a0e23779073
0,1463611691,ApeGang #2393,0.5555,2021-10-20T20:13:29.363558,,0x7e1f29b6328d1bf58ed324a2aa349a0e23779073,Thelastsaint,0xfe91a979aba3bce4b3c6e2325aad4a4800c76628
