,ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes
0,ApeGang #9211,Magician,Gold Hoop,Banana,Strong Dark Brown,Shocked,Heart
1,ApeGang #9195,Yellow NBA Jersey,,Viking Helmet,Brown,Joint,
2,ApeGang #9190,Military,,Cop,Brown,Tongue Out,Hippie Glasses
3,ApeGang #9181,Toga,,,Brown,Grin Gold,Scar
4,ApeGang #9154,Hippie,,,Cheetah,,
5,ApeGang #9152,,,Red NBA Headband,Brown,Bubble Gum,
6,ApeGang #9144,Banana Shirt,Bluetooth Earpiece,Cop,Brown,,Scar
7,ApeGang #9132,Purple Hoodie,,Green Beanie,Brown,,
8,ApeGang #6981,Hotel Porter,Silver Hoop,,Cream,Grin Rainbow,
9,ApeGang #6275,,,Chef's,Black,Grin Rainbow,3D Glasses
10,ApeGang #6022,Military,,Fisherman,Brown,Tongue Out,Robot
11,ApeGang #9999,Prison Jumpsuit,,Horn,Cream,Snake,
12,ApeGang #9998,Winter Coat,Silver Hoop,,Brown,,
13,ApeGang #9997,Hotel Porter,,Purple Beanie,Cream,,Eye Patch
14,ApeGang #9996,Black Suit,,,Brown,Grillz,Blind
15,ApeGang #9995,,Gold Hoop,Banana,Grey,Drool Rainbow,Gold Sunglasses
16,ApeGang #9994,,Bluetooth Earpiece,Purple Beanie,Brown,Joker,Monocle
17,ApeGang #9993,,,Fireman,Brown,Flames,
18,ApeGang #9992,Red NBA Jersey,,Headphone,Cream,Oh,Eye Patch
19,ApeGang #9991,,Silver Hoop,Pirate,White,Cigarette,Gold Sunglasses
20,ApeGang #9990,Yellow NBA Jersey,,Hippie Bandana,Cream,Shocked,Robot Glasses
21,ApeGang #9989,Prison Jumpsuit,,,Tiger,Drool Rainbow,Hippie Glasses
22,ApeGang #9988,Mexican,,Cowboy,Black,Bubble Gum,Crazy
23,ApeGang #9987,Orange Hawaiian Shirt ,Airpods,,Zebra,Beard,Heart
24,ApeGang #9986,Pirate,,Halo,Cream,Baby Pacifier,
25,ApeGang #9985,Joker,,Sombrero,Grey,Grin Gold,Rainbow Sunglasses
26,ApeGang #9984,Hotel Porter,,,Cream,Beard,Monocle
27,ApeGang #9983,Prison Jumpsuit,,Bandana,Brown,Flames,Sad
28,ApeGang #9982,,Gold Hoop,Propeller,Black,Cigarette,
29,ApeGang #9981,Military,,,Cream,,
30,ApeGang #9980,Sheriff,,Headphone,Black,Flames,Round Glasses
31,ApeGang #9979,Yellow NBA Jersey,,Headphone,Cream,Baby Pacifier,Black Sunglasses
32,ApeGang #9978,Orange Striped T-Shirt,,,Brown,Oh,Eye Patch
33,ApeGang #9977,Banana Shirt,,Laurel,Brown,Angry,Sad
34,ApeGang #9976,,,Laurel,Cream,Flames,Monocle
35,ApeGang #9975,,,Pirate,Rainbow,Mustache,Round Glasses
36,ApeGang #9974,White Tank Top,,Purple Beanie,Red Devil,Flames,
37,ApeGang #9973,Prison Jumpsuit,,Brown Beanie,Brown,Grillz,Gold Sunglasses
38,ApeGang #9972,Winter Coat,,,Tiger,Covid Mask,Crazy
39,ApeGang #9971,,,War Bonnet,Zebra,,Gold Sunglasses
40,ApeGang #9970,,Silver Hoop,Brown Beanie,Black,Beard,High
41,ApeGang #9969,Space Suit,Silver Hoop,,Cream,Mustache,
42,ApeGang #9968,Cop,,Borsalino,Cream,Snake,
43,ApeGang #9967,Hippie,,,Brown,,Scar
44,ApeGang #9966,Mexican,,Crown,Brown,Beard,Black Sunglasses
45,ApeGang #9965,,,Flower Crown,Cream,Grillz,
46,ApeGang #9964,Yellow NBA Jersey,,Fisherman,Brown,Grin Gold,Alien
47,ApeGang #9963,Orange Hawaiian Shirt ,Gold Hoop,Crown,Cheetah,Snake,Black Sunglasses
48,ApeGang #9962,Groom,,,Brown,Tongue Out,3D Glasses
49,ApeGang #9961,,Airpods,Yellow NBA Headband,Grey,Angry,Black Sunglasses
50,ApeGang #9960,,,Flower Crown,Strong Dark Brown,Nose Ring,Closed
51,ApeGang #9959,Nurse,Airpods,Borsalino,Brown,Corn,Gold Sunglasses
52,ApeGang #9958,,Gold Hoop,Yellow NBA Headband,Brown,,
53,ApeGang #9957,Magician,Airpods,Banana,White,Grillz,Round Glasses
54,ApeGang #9956,,,Propeller,Brown,,Squinting
55,ApeGang #9955,Lumberjack,,Brown Beanie,Brown,,
56,ApeGang #9954,Joker,,Headphone,Brown,,Bruised
57,ApeGang #9953,Military,Airpods,,Cheetah,Corn,
58,ApeGang #9952,Yellow NBA Jersey,Silver Hoop,Rabbit Ears,Brown,Smoke Pipe,
59,ApeGang #9951,Pirate,Silver Hoop,,Zebra,Nose Ring,
60,ApeGang #9950,,Gold Hoop,Propeller,Tiger,Joker,
61,ApeGang #9949,,Diamond Stud,Sombrero,White,,Eye Patch
62,ApeGang #9948,,,Fireman,Brown,Tongue Out,Laser
63,ApeGang #9947,,Diamond Stud,,Brown,Bubble Gum,Closed
64,ApeGang #9946,Pirate,,Yellow NBA Headband,Tiger,Beard,Heart
65,ApeGang #9945,,,War Bonnet,Cream,Grillz,
66,ApeGang #9944,Military,Diamond Stud,Pirate,Grey,,
67,ApeGang #9943,,Bluetooth Earpiece,Chef's,Black,Smoke Pipe,
68,ApeGang #9942,Red Hawaiian Shirt,Bluetooth Earpiece,,Black,,Cyclops
69,ApeGang #9941,Banana Shirt,,Cop,Tiger,,Monocle
70,ApeGang #9940,Grey Striped T-Shirt,,Hotel Porter,Black,Flames,
71,ApeGang #9939,Sheriff,,Top Hat,Brown,Snake,Gold Sunglasses
72,ApeGang #9938,Pirate,,,Strong Dark Brown,,Strabismus
73,ApeGang #9937,,Bluetooth Earpiece,Banana,Brown,Snake,Bruised
74,ApeGang #9936,Pirate,,Red NBA Headband,Grey,Grin Rainbow,Gold Sunglasses
75,ApeGang #9935,,Bluetooth Earpiece,,Brown,Oh,Bruised
76,ApeGang #9934,Orange Hawaiian Shirt ,,Magician,Brown,Flames,Albino
77,ApeGang #9933,Winter Coat,,,Strong Dark Brown,Beard,Scar
78,ApeGang #9932,,,Viking Helmet,White,,Black Sunglasses
79,ApeGang #9931,Pimp Coat,Bluetooth Earpiece,Nurse,Brown,Grillz,
80,ApeGang #9930,Orange Striped T-Shirt,,Banana,Brown,,
81,ApeGang #9929,Fireman,,,Brown,Joint,Black Sunglasses
82,ApeGang #9928,Blue Hoodie,Silver Hoop,Brown Beanie,Black,Nose Ring,
83,ApeGang #9927,,,Yellow NBA Headband,Brown,,Strabismus
84,ApeGang #9926,Grey Striped T-Shirt,,,Black,Mustache,Robot
85,ApeGang #9925,,,Party,Strong Dark Brown,Beard,Closed
86,ApeGang #9924,Black Tank Top,,Viking Helmet,Brown,Shocked,Robot
87,ApeGang #9923,,,Yellow NBA Headband,Brown,Angry,
88,ApeGang #9922,,,,White,Drool Rainbow,Round Glasses
89,ApeGang #9921,Indian,Diamond Stud,Viking Helmet,Grey,Tongue Out,
90,ApeGang #9920,Sheriff,Gold Hoop,,Black,Joint,Crazy
91,ApeGang #9919,Orange Striped T-Shirt,Diamond Stud,Yellow NBA Headband,Strong Dark Brown,Corn,Hippie Glasses
92,ApeGang #9918,,Bluetooth Earpiece,Laurel,Brown,Shocked,Hippie Glasses
93,ApeGang #9917,Sheriff,,Yellow NBA Headband,Brown,,Closed
94,ApeGang #9916,Sheriff,,,Brown,,Devil
95,ApeGang #9915,,,Purple Beanie,Black,Angry,Hippie Glasses
96,ApeGang #9914,Banana Shirt,Gold Hoop,,Black,,Crazy
97,ApeGang #9913,Iron Man,Gold Hoop,,Grey,Beard,Hippie Glasses
98,ApeGang #9912,Nurse,,,Brown,Grin Rainbow,Gold Sunglasses
99,ApeGang #9911,Nurse,,Rabbit Ears,Strong Dark Brown,Joker,
100,ApeGang #9910,,Diamond Stud,Red NBA Headband,Red Devil,Drool Rainbow,Crazy
101,ApeGang #9909,,Diamond Stud,Yellow NBA Headband,Brown,Grin Rainbow,Cyclops
102,ApeGang #9908,Pimp Coat,,Banana,Tiger,Angry,Bruised
103,ApeGang #9907,Grey Striped T-Shirt,Silver Hoop,Top Hat,Brown,,
104,ApeGang #9906,Sheriff,,,Brown,,Gold Sunglasses
105,ApeGang #9905,Toga,,Red NBA Headband,Brown,Flames,
106,ApeGang #9904,,Gold Hoop,Fisherman,Zebra,Tongue Out,
107,ApeGang #9903,White Tank Top,,,White,,Heart
108,ApeGang #9902,Fireman,,Stuntman Helmet,Brown,Tongue Out,
