,ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes,last_sale,last_sale_date
0,ApeGang #9211,Magician,Gold Hoop,Banana,Strong Dark Brown,Shocked,Heart,,
1,ApeGang #9195,Yellow NBA Jersey,,Viking Helmet,Brown,Joint,,,
2,ApeGang #9190,Military,,Cop,Brown,Tongue Out,Hippie Glasses,0.4,2021-10-08T00:27:39.573372
3,ApeGang #9181,Toga,,,Brown,Grin Gold,Scar,0.3793,2021-10-08T03:46:07.923795
4,ApeGang #9154,Hippie,,,Cheetah,,,1.29,2021-10-12T05:02:45.670562
5,ApeGang #9152,,,Red NBA Headband,Brown,Bubble Gum,,0.94,2021-10-13T15:27:52.691951
6,ApeGang #9144,Banana Shirt,Bluetooth Earpiece,Cop,Brown,,Scar,0.7987,2021-10-12T14:51:56.011983
7,ApeGang #9132,Purple Hoodie,,Green Beanie,Brown,,,0.5,2021-10-08T22:37:55.308310
8,ApeGang #6981,Hotel Porter,Silver Hoop,,Cream,Grin Rainbow,,0.35,2021-09-01T14:01:41.614620
9,ApeGang #6275,,,Chef's,Black,Grin Rainbow,3D Glasses,0.025,2021-07-17T20:22:16.095237
10,ApeGang #6022,Military,,Fisherman,Brown,Tongue Out,Robot,0.389,2021-09-29T03:42:47.026163
11,ApeGang #9999,Prison Jumpsuit,,Horn,Cream,Snake,,0.045,2021-07-17T17:17:39.697291
12,ApeGang #9998,Winter Coat,Silver Hoop,,Brown,,,0.29,2021-09-01T19:49:19.273772
13,ApeGang #9997,Hotel Porter,,Purple Beanie,Cream,,Eye Patch,0.025,2021-07-17T20:26:02.632170
14,ApeGang #9996,Black Suit,,,Brown,Grillz,Blind,0.1,2021-08-03T12:58:33.177527
15,ApeGang #9995,,Gold Hoop,Banana,Grey,Drool Rainbow,Gold Sunglasses,0.5,2021-09-19T13:24:32.316645
16,ApeGang #9994,,Bluetooth Earpiece,Purple Beanie,Brown,Joker,Monocle,0.55,2021-08-30T09:31:08.033849
17,ApeGang #9993,,,Fireman,Brown,Flames,,0.19,2021-08-27T21:23:47.057345
18,ApeGang #9992,Red NBA Jersey,,Headphone,Cream,Oh,Eye Patch,,
19,ApeGang #9991,,Silver Hoop,Pirate,White,Cigarette,Gold Sunglasses,0.08,2021-07-11T18:56:21.718194
20,ApeGang #9990,Yellow NBA Jersey,,Hippie Bandana,Cream,Shocked,Robot Glasses,0.18,2021-09-17T17:56:02.776413
21,ApeGang #9989,Prison Jumpsuit,,,Tiger,Drool Rainbow,Hippie Glasses,,
22,ApeGang #9988,Mexican,,Cowboy,Black,Bubble Gum,Crazy,,
23,ApeGang #9987,Orange Hawaiian Shirt ,Airpods,,Zebra,Beard,Heart,,
24,ApeGang #9986,Pirate,,Halo,Cream,Baby Pacifier,,0.03,2021-07-18T08:07:25.442689
25,ApeGang #9985,Joker,,Sombrero,Grey,Grin Gold,Rainbow Sunglasses,,
26,ApeGang #9984,Hotel Porter,,,Cream,Beard,Monocle,0.03,2021-07-18T08:07:25.729957
27,ApeGang #9983,Prison Jumpsuit,,Bandana,Brown,Flames,Sad,0.0777,2021-08-22T13:19:26.758004
28,ApeGang #9982,,Gold Hoop,Propeller,Black,Cigarette,,,
29,ApeGang #9981,Military,,,Cream,,,0.03,2021-07-18T08:07:41.718332
30,ApeGang #9980,Sheriff,,Headphone,Black,Flames,Round Glasses,0.12,2021-08-02T13:15:04.696646
31,ApeGang #9979,Yellow NBA Jersey,,Headphone,Cream,Baby Pacifier,Black Sunglasses,,
32,ApeGang #9978,Orange Striped T-Shirt,,,Brown,Oh,Eye Patch,0.259,2021-09-19T00:43:50.135852
33,ApeGang #9977,Banana Shirt,,Laurel,Brown,Angry,Sad,0.029,2021-07-18T07:20:40.623970
34,ApeGang #9976,,,Laurel,Cream,Flames,Monocle,0.2,2021-07-20T11:46:02.120193
35,ApeGang #9975,,,Pirate,Rainbow,Mustache,Round Glasses,0.2,2021-07-24T22:21:52.205181
36,ApeGang #9974,White Tank Top,,Purple Beanie,Red Devil,Flames,,0.3,2021-08-26T14:20:21.810553
37,ApeGang #9973,Prison Jumpsuit,,Brown Beanie,Brown,Grillz,Gold Sunglasses,0.3,2021-08-29T13:44:32.898788
38,ApeGang #9972,Winter Coat,,,Tiger,Covid Mask,Crazy,0.81,2021-10-13T03:07:06.316356
39,ApeGang #9971,,,War Bonnet,Zebra,,Gold Sunglasses,0.16,2021-07-20T11:22:59.819949
40,ApeGang #9970,,Silver Hoop,Brown Beanie,Black,Beard,High,0.4204,2021-09-16T14:23:16.920937
41,ApeGang #9969,Space Suit,Silver Hoop,,Cream,Mustache,,1.99,2021-10-10T00:47:36.836387
42,ApeGang #9968,Cop,,Borsalino,Cream,Snake,,0.37,2021-09-19T22:45:22.404042
43,ApeGang #9967,Hippie,,,Brown,,Scar,0.08,2021-07-06T14:46:51.751581
44,ApeGang #9966,Mexican,,Crown,Brown,Beard,Black Sunglasses,0.08,2021-07-03T20:08:29.423870
45,ApeGang #9965,,,Flower Crown,Cream,Grillz,,0.34,2021-09-26T02:56:26.842184
46,ApeGang #9964,Yellow NBA Jersey,,Fisherman,Brown,Grin Gold,Alien,0.22,2021-09-09T18:46:42.533344
47,ApeGang #9963,Orange Hawaiian Shirt ,Gold Hoop,Crown,Cheetah,Snake,Black Sunglasses,1.0,2021-08-08T08:26:37.591116
48,ApeGang #9962,Groom,,,Brown,Tongue Out,3D Glasses,0.07,2021-08-18T02:33:33.213565
49,ApeGang #9961,,Airpods,Yellow NBA Headband,Grey,Angry,Black Sunglasses,0.54,2021-09-23T13:03:29.189051
50,ApeGang #9960,,,Flower Crown,Strong Dark Brown,Nose Ring,Closed,0.49,2021-10-09T11:47:57.669537
51,ApeGang #9959,Nurse,Airpods,Borsalino,Brown,Corn,Gold Sunglasses,0.5,2021-09-19T03:44:18.436627
52,ApeGang #9958,,Gold Hoop,Yellow NBA Headband,Brown,,,0.4269,2021-09-23T20:49:16.483095
53,ApeGang #9957,Magician,Airpods,Banana,White,Grillz,Round Glasses,0.5,2021-07-19T12:50:27.869692
54,ApeGang #9956,,,Propeller,Brown,,Squinting,0.3599,2021-09-01T01:18:51.498598
55,ApeGang #9955,Lumberjack,,Brown Beanie,Brown,,,0.094,2021-08-24T15:36:15.874027
56,ApeGang #9954,Joker,,Headphone,Brown,,Bruised,0.3,2021-09-18T22:18:55.286029
57,ApeGang #9953,Military,Airpods,,Cheetah,Corn,,0.195,2021-09-17T11:57:25.346406
58,ApeGang #9952,Yellow NBA Jersey,Silver Hoop,Rabbit Ears,Brown,Smoke Pipe,,0.045,2021-08-01T23:02:34.054227
59,ApeGang #9951,Pirate,Silver Hoop,,Zebra,Nose Ring,,,
60,ApeGang #9950,,Gold Hoop,Propeller,Tiger,Joker,,0.85,2021-10-11T06:24:20.056540
61,ApeGang #9949,,Diamond Stud,Sombrero,White,,Eye Patch,0.03,2021-07-18T08:07:25.851893
62,ApeGang #9948,,,Fireman,Brown,Tongue Out,Laser,0.8,2021-08-30T01:56:57.551367
63,ApeGang #9947,,Diamond Stud,,Brown,Bubble Gum,Closed,0.6,2021-10-09T16:26:39.111648
64,ApeGang #9946,Pirate,,Yellow NBA Headband,Tiger,Beard,Heart,0.03,2021-07-18T06:20:04.246427
65,ApeGang #9945,,,War Bonnet,Cream,Grillz,,0.2477,2021-09-07T03:10:46.094593
66,ApeGang #9944,Military,Diamond Stud,Pirate,Grey,,,0.2,2021-09-18T18:37:14.496785
67,ApeGang #9943,,Bluetooth Earpiece,Chef's,Black,Smoke Pipe,,0.29,2021-09-19T01:50:00.447999
68,ApeGang #9942,Red Hawaiian Shirt,Bluetooth Earpiece,,Black,,Cyclops,0.03,2021-07-18T07:23:08.726136
69,ApeGang #9941,Banana Shirt,,Cop,Tiger,,Monocle,0.0699,2021-08-16T21:03:53.041653
70,ApeGang #9940,Grey Striped T-Shirt,,Hotel Porter,Black,Flames,,0.3222,2021-08-30T02:02:31.807897
71,ApeGang #9939,Sheriff,,Top Hat,Brown,Snake,Gold Sunglasses,0.188,2021-08-28T03:26:12.879205
72,ApeGang #9938,Pirate,,,Strong Dark Brown,,Strabismus,0.1,2021-08-24T02:57:44.318183
73,ApeGang #9937,,Bluetooth Earpiece,Banana,Brown,Snake,Bruised,0.08,2021-08-09T05:30:40.006853
74,ApeGang #9936,Pirate,,Red NBA Headband,Grey,Grin Rainbow,Gold Sunglasses,,
