,Clothes,mean,diff,rarity,ape_id,listing_price
0,Red Hawaiian Shirt,0.868546410117647,-0.048751297645776015,2.83,ApeGang #7496,0.49
1,Red NBA Jersey,1.015304020884058,0.09800631312063501,2.48,ApeGang #3023,0.85
2,Black Tank Top,0.8049984057910449,-0.11229930197237814,2.27,ApeGang #5513,0.769
3,Military,0.788829611111111,-0.12846809665231196,2.27,ApeGang #8112,0.449
4,Yellow NBA Jersey,1.3122835321641793,0.39498582440075625,2.41,ApeGang #4428,0.7
5,Grey Striped T-Shirt,0.7365102693148148,-0.18078743844860823,2.6,ApeGang #1234,0.7
6,Batman,1.2038636363636364,0.28656592860021335,1.23,ApeGang #5125,0.8069
7,Hippie,0.8425278387499999,-0.07476986901342308,2.4699999999999998,ApeGang #3044,0.5
8,Magician,0.8501991301515152,-0.06709857761190785,2.77,ApeGang #9533,0.449
9,Pimp Coat,0.8370114754098361,-0.0802862323535869,2.53,ApeGang #2100,0.8
10,Orange Hawaiian Shirt ,0.7888074074074075,-0.1284903003560155,2.4699999999999998,ApeGang #6005,0.54
11,White Tank Top,0.8607887096774193,-0.05650899808600374,2.2399999999999998,ApeGang #1781,0.46
12,Hotel Porter,0.8200550819672132,-0.09724262579620979,2.2800000000000002,ApeGang #7964,0.47
13,Toga,0.7624000000000002,-0.15489770776342282,2.6,ApeGang #743,0.5
14,Pirate,0.793030909090909,-0.124266798672514,2.33,ApeGang #5622,0.55
15,Indian,0.8380624687346938,-0.0792352390287292,2.31,ApeGang #604,0.6
16,Purple Hoodie,0.9674622222222222,0.050164514458799214,2.32,ApeGang #2492,0.65
17,Mexican,0.701418020685185,-0.21587968707823801,2.4299999999999997,ApeGang #5374,0.65
18,Black Suit,0.8348386363636362,-0.08245907139978681,2.31,ApeGang #8409,0.699
19,Winter Coat,0.7879963636363637,-0.1293013441270593,2.5100000000000002,ApeGang #947,0.45
20,Joker,0.9629947368421051,0.045697029078682116,1.2,ApeGang #8801,1.0
21,Banana Shirt,0.7904379310344827,-0.12685977672894033,2.37,ApeGang #1333,0.666
22,Fireman,0.8239705882352939,-0.09332711952812911,2.36,ApeGang #4441,0.69
23,Blue Hoodie,0.8669647422439025,-0.05033296551952049,2.33,ApeGang #9351,0.75
24,Cop,0.8580288888888892,-0.059268818874533835,2.45,ApeGang #9534,0.544
25,Nurse,0.7843734000566037,-0.1329243077068193,2.35,ApeGang #1616,0.48
26,Prison Jumpsuit,0.7411303597321428,-0.1761673480312802,2.3800000000000003,ApeGang #8865,0.8
27,Lumberjack,0.7643315789473685,-0.15296612881605454,2.27,ApeGang #6082,0.75
28,Orange Striped T-Shirt,0.8446225862068966,-0.07267512155652645,2.41,ApeGang #9978,0.46
29,Sheriff,0.7834185185185186,-0.13387918924490438,2.45,ApeGang #6494,0.54
30,Lab Coat,0.7357890909090911,-0.18150861685433195,2.42,ApeGang #9506,0.544
31,Iron Man,1.745391304347826,0.828093596584403,1.22,ApeGang #710,1.35
32,Groom,0.852747877367347,-0.06454983039607598,2.58,ApeGang #9112,0.6
33,Angel Wings,2.45546,1.538162292236577,0.61,ApeGang #2925,3.0
34,Devil Wings,2.5785,1.661202292236577,0.44999999999999996,ApeGang #8445,4.2
35,Space Suit,2.407272727272727,1.4899750195093038,0.45999999999999996,ApeGang #1048,2.4
