,Mouth,mean,diff,rarity,ape_id,listing_price
0,Mustache,1.0295611940298506,0.11226348626642757,3.02,ApeGang #1340,0.69
1,Bubble Gum,0.8534633333333335,-0.06383437443008955,2.8000000000000003,ApeGang #1368,0.5
2,Shocked,0.7897176424698797,-0.12758006529354327,3.17,ApeGang #6494,0.54
3,Yawn,0.8866194805194805,-0.030678227243942535,3.29,ApeGang #9533,0.449
4,Baby Pacifier,0.908021564157895,-0.009276143605527976,3.37,ApeGang #8112,0.449
5,Tongue Out,0.8836101712727272,-0.03368753649069578,3.16,ApeGang #1616,0.48
6,Grin Gold,0.826904109589041,-0.09039359817438197,3.09,ApeGang #3044,0.5
7,Joint,0.9673577215189874,0.05006001375556435,3.25,ApeGang #3023,0.85
8,Beard,0.7965342465753424,-0.12076346118808057,3.09,ApeGang #2284,0.5
9,Grin Rainbow,0.8599654136666666,-0.05733229409675644,3.27,ApeGang #8272,0.5
10,Flames,1.068600735368421,0.15130302760499803,3.4099999999999997,ApeGang #875,0.7
11,Drool Rainbow,0.8066058331617647,-0.1106918746016583,3.26,ApeGang #9556,0.49
12,Joker,0.965134,0.04783629223657704,1.71,ApeGang #5622,0.55
13,Cigarette,0.8144441176470588,-0.10285359011636419,3.2300000000000004,ApeGang #9661,0.55
14,Nose Ring,0.8855749006533332,-0.03172280711008979,3.18,ApeGang #8059,0.45
15,Smoke Pipe,0.8775279214078949,-0.03976978635552808,3.11,ApeGang #5763,0.71
16,Snake,0.7597370729076923,-0.15756063485573069,3.3000000000000003,ApeGang #947,0.45
17,Corn,0.8264697674418607,-0.09082794032156227,3.26,ApeGang #4479,0.66
18,Angry,0.9292892857142857,0.011991577950862697,3.09,ApeGang #7289,0.59
19,Covid Mask,0.7727121088245614,-0.14458559893886158,2.9000000000000004,ApeGang #7496,0.49
20,Grillz,0.9039673634891302,-0.013330344274292805,3.7800000000000002,ApeGang #703,0.575
21,Oh,0.8314333333389831,-0.08586437442443995,2.86,ApeGang #9978,0.46
