,ape_id,listing_event_id,listing_event_time,listing_price,auction_type,is_private,payment_token
0,ApeGang #3284,1478826134,2021-10-21T20:35:04.288648,2.3,dutch,False,ETH
1,ApeGang #997,1478743462,2021-10-21T20:28:32.385032,0.485,dutch,False,ETH
2,ApeGang #8364,1478733132,2021-10-21T20:27:46.008054,0.95,dutch,False,ETH
3,ApeGang #703,1478714927,2021-10-21T20:26:21.464221,0.75,dutch,False,ETH
4,ApeGang #3796,1478668400,2021-10-21T20:22:45.063448,3.0,dutch,False,ETH
5,ApeGang #1369,1478564266,2021-10-21T20:15:08.866383,3.2,dutch,False,ETH
6,ApeGang #445,1478561989,2021-10-21T20:14:58.750784,2.69,dutch,False,ETH
7,ApeGang #8384,1478531810,2021-10-21T20:12:42.953281,0.8,dutch,False,ETH
8,ApeGang #2100,1478505042,2021-10-21T20:10:44.844765,0.8,dutch,False,ETH
9,ApeGang #2925,1478370048,2021-10-21T20:00:29.534414,2.7,dutch,False,ETH
10,ApeGang #8611,1478360803,2021-10-21T19:59:47.840579,0.92,dutch,False,ETH
11,ApeGang #3587,1478351480,2021-10-21T19:59:06.498533,2.0,dutch,False,ETH
12,ApeGang #3865,1478346184,2021-10-21T19:58:42.918256,1.2,dutch,False,ETH
13,ApeGang #9526,1478232011,2021-10-21T19:49:48.139627,0.59,dutch,False,ETH
14,ApeGang #8083,1478188113,2021-10-21T19:46:29.896878,0.95,dutch,False,ETH
15,ApeGang #1878,1478168816,2021-10-21T19:45:05.619210,0.985,dutch,False,ETH
16,ApeGang #7161,1478078478,2021-10-21T19:37:55.897438,0.3969,dutch,False,ETH
17,ApeGang #2400,1477986185,2021-10-21T19:30:43.898904,0.55,dutch,False,ETH
18,ApeGang #2705,1477947384,2021-10-21T19:27:47.138634,1.5,dutch,False,ETH
19,ApeGang #3023,1477947064,2021-10-21T19:27:45.683970,1.25,dutch,False,ETH
20,ApeGang #5583,1477905031,2021-10-21T19:24:27.723760,1.5,dutch,False,ETH
21,ApeGang #5774,1477857819,2021-10-21T19:20:38.743919,1.2,dutch,False,ETH
22,ApeGang #9155,1477723627,2021-10-21T19:10:04.855500,0.8,dutch,False,ETH
23,ApeGang #9995,1477709838,2021-10-21T19:08:58.197815,0.8,dutch,False,ETH
24,ApeGang #178,1477656156,2021-10-21T19:04:36.420997,1.4,dutch,False,ETH
25,ApeGang #9544,1477640533,2021-10-21T19:03:21.165324,0.55,dutch,False,ETH
26,ApeGang #8422,1477634665,2021-10-21T19:02:50.735742,0.8,dutch,False,ETH
27,ApeGang #3731,1477629175,2021-10-21T19:02:23.257233,0.8,dutch,False,ETH
28,ApeGang #3408,1477606481,2021-10-21T19:00:33.492312,15.0,dutch,False,ETH
29,ApeGang #9089,1477604082,2021-10-21T19:00:22.274555,0.66,dutch,False,ETH
30,ApeGang #5138,1477464720,2021-10-21T18:49:35.044596,0.6,dutch,False,ETH
31,ApeGang #9554,1477414479,2021-10-21T18:45:47.181044,1.0,dutch,False,ETH
32,ApeGang #7161,1477396720,2021-10-21T18:44:24.522393,0.69,dutch,False,ETH
33,ApeGang #5224,1477356461,2021-10-21T18:41:15.559374,0.88,dutch,False,ETH
34,ApeGang #5138,1477328828,2021-10-21T18:39:01.324792,0.62,dutch,False,ETH
35,ApeGang #1929,1477322737,2021-10-21T18:38:31.689210,0.84,dutch,False,ETH
36,ApeGang #2467,1477268138,2021-10-21T18:34:02.553156,1.1,dutch,False,ETH
37,ApeGang #747,1477257685,2021-10-21T18:33:09.768198,0.7,dutch,False,ETH
38,ApeGang #5374,1477239092,2021-10-21T18:31:36.454208,0.65,dutch,False,ETH
39,ApeGang #3619,1477221057,2021-10-21T18:30:05.736395,4.0,dutch,False,ETH
40,ApeGang #679,1477186559,2021-10-21T18:27:16.607621,0.94,dutch,False,ETH
41,ApeGang #7773,1477166478,2021-10-21T18:25:37.815634,1.99,dutch,False,ETH
42,ApeGang #4430,1477151410,2021-10-21T18:24:25.798595,1.2,dutch,True,ETH
43,ApeGang #6418,1477140600,2021-10-21T18:23:35.441804,1.0,dutch,False,ETH
44,ApeGang #6378,1477050629,2021-10-21T18:16:31.393761,2.5,dutch,False,ETH
45,ApeGang #7700,1477044860,2021-10-21T18:16:05.360313,1.5,dutch,False,ETH
46,ApeGang #4916,1476922803,2021-10-21T18:06:16.025003,10.0,dutch,False,ETH
47,ApeGang #1929,1476817614,2021-10-21T17:57:23.829182,0.85,dutch,False,ETH
