ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes
ApeGang #9154,Hippie,,,Cheetah,,
ApeGang #9981,Military,,,Cream,,
ApeGang #9883,Grey Striped T-Shirt,,,Black,,
ApeGang #9864,,,Sombrero,Brown,,
ApeGang #9855,,,Chef's,Grey,,
ApeGang #9735,,,,Cream,,Closed
ApeGang #9706,Yellow NBA Jersey,,,Black,,
ApeGang #9688,Orange Striped T-Shirt,,,Grey,,
ApeGang #9654,,,,Cream,Grin Gold,
ApeGang #9623,,,Crown,Cream,,
ApeGang #9614,Red Hawaiian Shirt,,,Tiger,,
ApeGang #9607,,,,Rainbow,,Round Glasses
ApeGang #9551,,,,Strong Dark Brown,Grillz,
ApeGang #9509,,,,Brown,,Rainbow Sunglasses
ApeGang #9505,,,Crown,White,,
ApeGang #9470,,,,Cheetah,Snake,
ApeGang #9446,Winter Coat,,,Zebra,,
ApeGang #9428,,,,Strong Dark Brown,Corn,
ApeGang #9355,,,,Cheetah,,Diving Mask
ApeGang #9353,,,,Tiger,,Round Glasses
ApeGang #9352,,,,Cream,Baby Pacifier,
ApeGang #9292,,,Joker Hair,Zebra,,
ApeGang #9272,,,,Brown,,Eye Patch
ApeGang #9260,,,Military Helmet,Red Devil,,
ApeGang #9253,,,Borsalino,Grey,,
ApeGang #9238,,Airpods,,Cream,,
ApeGang #9193,,,Sushi Chef,Cream,,
ApeGang #9125,,,,Zebra,,Laser
ApeGang #9120,,,Halo,White,,
ApeGang #9013,,,,White,Oh,
ApeGang #9012,Sheriff,,,Red Devil,,
ApeGang #8990,Fireman,,,Black,,
ApeGang #8970,Yellow NBA Jersey,,,Grey,,
ApeGang #8964,,,,Grey,,Strabismus
ApeGang #8958,,,Cowboy,Grey,,
ApeGang #8924,,,,Tiger,,Robot
ApeGang #8886,,,,Strong Dark Brown,,Closed
ApeGang #8855,,,,Grey,Baby Pacifier,
ApeGang #8846,,,,Strong Dark Brown,,3D Glasses
ApeGang #8790,,,,Zebra,Flames,
ApeGang #8787,,,Headphone,White,,
ApeGang #8777,,,Sushi Chef,Cheetah,,
ApeGang #8708,Fireman,,,Grey,,
ApeGang #8698,,,,Grey,Beard,
ApeGang #8623,,,Groom,Black,,
ApeGang #8594,,,Banana,Brown,,
ApeGang #8560,Winter Coat,,,Tiger,,
ApeGang #8547,,,,Strong Dark Brown,Flames,
ApeGang #8528,Hotel Porter,,,Tiger,,
ApeGang #8511,,,Propeller,Red Devil,,
ApeGang #8503,,Diamond Stud,,Black,,
ApeGang #8495,,,,Strong Dark Brown,,Cyclops
ApeGang #8467,,,Fireman,Cream,,
ApeGang #8460,,,,White,Mustache,
ApeGang #8411,,,Brown Beanie,Strong Dark Brown,,
ApeGang #8406,,,,Cheetah,Corn,
ApeGang #8358,,,Sushi Chef,Grey,,
ApeGang #8331,,,Halo,Strong Dark Brown,,
ApeGang #8298,,,,Grey,,Closed
