,Unnamed: 0,ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes
0,0.0,ApeGang #9211,Magician,Gold Hoop,Banana,Strong Dark Brown,Shocked,Heart
47,47.0,ApeGang #9963,Orange Hawaiian Shirt ,Gold Hoop,Crown,Cheetah,Snake,Black Sunglasses
51,51.0,ApeGang #9959,Nurse,Airpods,Borsalino,Brown,Corn,Gold Sunglasses
53,53.0,ApeGang #9957,Magician,Airpods,Banana,White,Grillz,Round Glasses
91,91.0,ApeGang #9919,Orange Striped T-Shirt,Diamond Stud,Yellow NBA Headband,Strong Dark Brown,Corn,Hippie Glasses
118,118.0,ApeGang #9892,White Tank Top,Gold Hoop,Cowboy,Brown,Cigarette,Crazy
120,120.0,ApeGang #9890,Nurse,Gold Hoop,Hippie Bandana,Tiger,Drool Rainbow,Hippie Glasses
131,131.0,ApeGang #9879,Orange Striped T-Shirt,Gold Hoop,Military Helmet,Grey,Joint,Gold Sunglasses
138,138.0,ApeGang #9872,Nurse,Bluetooth Earpiece,Rabbit Ears,Zebra,Corn,Sad
178,178.0,ApeGang #9832,Lab Coat,Bluetooth Earpiece,Bandana,Brown,Grin Rainbow,Gold Sunglasses
225,225.0,ApeGang #9785,Iron Man,Silver Hoop,Cowboy,White,Corn,Hippie Glasses
250,250.0,ApeGang #9760,Cop,Gold Hoop,Rabbit Ears,Cream,Covid Mask,Bruised
253,253.0,ApeGang #9757,Black Suit,Airpods,Sushi Chef,Brown,Joint,Gold Sunglasses
289,289.0,ApeGang #9721,Groom,Bluetooth Earpiece,Joker Hair,Brown,Cigarette,Scar
313,313.0,ApeGang #9697,Toga,Diamond Stud,Fisherman,Red Devil,Beard,High
315,315.0,ApeGang #9695,Black Suit,Silver Hoop,Fisherman,Brown,Angry,Black Sunglasses
328,328.0,ApeGang #9682,Lab Coat,Silver Hoop,Rabbit Ears,Cream,Cigarette,Monocle
336,336.0,ApeGang #9674,Angel Wings,Silver Hoop,Groom,Brown,Smoke Pipe,Monocle
346,346.0,ApeGang #9664,Purple Hoodie,Gold Hoop,Yellow NBA Headband,Grey,Nose Ring,Scar
354,354.0,ApeGang #9656,Iron Man,Bluetooth Earpiece,Bandana,White,Grin Gold,Squinting
359,359.0,ApeGang #9651,Indian,Silver Hoop,Viking Helmet,Cheetah,Joint,Strabismus
382,382.0,ApeGang #9628,Sheriff,Silver Hoop,Laurel,Brown,Yawn,3D Glasses
409,409.0,ApeGang #9601,Black Tank Top,Bluetooth Earpiece,Flower Crown,Grey,Bubble Gum,Cyclops
412,412.0,ApeGang #9598,Banana Shirt,Gold Hoop,Flower Crown,Cream,Nose Ring,Bruised
429,429.0,ApeGang #9581,Military,Airpods,Banana,Brown,Covid Mask,Monocle
443,443.0,ApeGang #9567,Red Hawaiian Shirt,Airpods,Cop,Brown,Beard,Gold Sunglasses
446,446.0,ApeGang #9564,Military,Gold Hoop,Bandana,Grey,Grillz,High
481,481.0,ApeGang #9529,Toga,Silver Hoop,Yellow NBA Headband,Brown,Tongue Out,Black Sunglasses
485,485.0,ApeGang #9525,Nurse,Bluetooth Earpiece,Military Helmet,Grey,Mustache,Bruised
491,491.0,ApeGang #9519,Fireman,Airpods,Laurel,Grey,Tongue Out,Eye Patch
495,495.0,ApeGang #9515,Indian,Diamond Stud,Yellow NBA Headband,Brown,Corn,High
525,525.0,ApeGang #9485,Nurse,Silver Hoop,Flower Crown,Brown,Yawn,Diving Mask
554,554.0,ApeGang #9456,Joker,Bluetooth Earpiece,Hotel Porter,Brown,Cigarette,High
579,579.0,ApeGang #9431,Magician,Bluetooth Earpiece,Groom,Cream,Beard,Alien
612,612.0,ApeGang #9398,Prison Jumpsuit,Diamond Stud,Groom,Black,Cigarette,Hippie Glasses
621,621.0,ApeGang #9389,White Tank Top,Silver Hoop,Rabbit Ears,Brown,Angry,3D Glasses
646,646.0,ApeGang #9364,Black Tank Top,Diamond Stud,Halo,Brown,Corn,Closed
