ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes,Sum Rarity,Mean Rarity
ApeGang #9211,Magician,Gold Hoop,Banana,Strong Dark Brown,Shocked,Heart,19.150000000000002,4.7875000000000005
ApeGang #9963,Orange Hawaiian Shirt ,Gold Hoop,Crown,Cheetah,Snake,Black Sunglasses,12.66,3.165
ApeGang #9959,Nurse,Airpods,Borsalino,Brown,Corn,Gold Sunglasses,52.5,13.125
ApeGang #9957,Magician,Airpods,Banana,White,Grillz,Round Glasses,13.0,3.25
ApeGang #9919,Orange Striped T-Shirt,Diamond Stud,Yellow NBA Headband,Strong Dark Brown,Corn,Hippie Glasses,19.49,4.8725
ApeGang #9892,White Tank Top,Gold Hoop,Cowboy,Brown,Cigarette,Crazy,50.96,12.74
ApeGang #9890,Nurse,Gold Hoop,Hippie Bandana,Tiger,Drool Rainbow,Hippie Glasses,13.66,3.415
ApeGang #9879,Orange Striped T-Shirt,Gold Hoop,Military Helmet,Grey,Joint,Gold Sunglasses,17.89,4.4725
ApeGang #9872,Nurse,Bluetooth Earpiece,Rabbit Ears,Zebra,Corn,Sad,13.189999999999998,3.2974999999999994
ApeGang #9832,Lab Coat,Bluetooth Earpiece,Bandana,Brown,Grin Rainbow,Gold Sunglasses,52.27,13.0675
ApeGang #9785,Iron Man,Silver Hoop,Cowboy,White,Corn,Hippie Glasses,12.53,3.1325
ApeGang #9760,Cop,Gold Hoop,Rabbit Ears,Cream,Covid Mask,Bruised,16.700000000000003,4.175000000000001
ApeGang #9757,Black Suit,Airpods,Sushi Chef,Brown,Joint,Gold Sunglasses,52.2,13.05
ApeGang #9721,Groom,Bluetooth Earpiece,Joker Hair,Brown,Cigarette,Scar,49.489999999999995,12.372499999999999
ApeGang #9697,Toga,Diamond Stud,Fisherman,Red Devil,Beard,High,8.17,2.0425
ApeGang #9695,Black Suit,Silver Hoop,Fisherman,Brown,Angry,Black Sunglasses,52.03,13.0075
ApeGang #9682,Lab Coat,Silver Hoop,Rabbit Ears,Cream,Cigarette,Monocle,16.980000000000004,4.245000000000001
ApeGang #9674,Angel Wings,Silver Hoop,Groom,Brown,Smoke Pipe,Monocle,50.739999999999995,12.684999999999999
ApeGang #9664,Purple Hoodie,Gold Hoop,Yellow NBA Headband,Grey,Nose Ring,Scar,16.66,4.165
ApeGang #9656,Iron Man,Bluetooth Earpiece,Bandana,White,Grin Gold,Squinting,10.569999999999999,2.6424999999999996
ApeGang #9651,Indian,Silver Hoop,Viking Helmet,Cheetah,Joint,Strabismus,9.55,2.3875
ApeGang #9628,Sheriff,Silver Hoop,Laurel,Brown,Yawn,3D Glasses,50.959999999999994,12.739999999999998
ApeGang #9601,Black Tank Top,Bluetooth Earpiece,Flower Crown,Grey,Bubble Gum,Cyclops,14.760000000000002,3.6900000000000004
ApeGang #9598,Banana Shirt,Gold Hoop,Flower Crown,Cream,Nose Ring,Bruised,17.060000000000002,4.265000000000001
ApeGang #9581,Military,Airpods,Banana,Brown,Covid Mask,Monocle,50.449999999999996,12.612499999999999
ApeGang #9567,Red Hawaiian Shirt,Airpods,Cop,Brown,Beard,Gold Sunglasses,52.18,13.045
ApeGang #9564,Military,Gold Hoop,Bandana,Grey,Grillz,High,15.27,3.8175
ApeGang #9529,Toga,Silver Hoop,Yellow NBA Headband,Brown,Tongue Out,Black Sunglasses,51.980000000000004,12.995000000000001
ApeGang #9525,Nurse,Bluetooth Earpiece,Military Helmet,Grey,Mustache,Bruised,16.4,4.1
ApeGang #9519,Fireman,Airpods,Laurel,Grey,Tongue Out,Eye Patch,16.76,4.19
ApeGang #9515,Indian,Diamond Stud,Yellow NBA Headband,Brown,Corn,High,49.029999999999994,12.257499999999999
ApeGang #9485,Nurse,Silver Hoop,Flower Crown,Brown,Yawn,Diving Mask,49.279999999999994,12.319999999999999
ApeGang #9456,Joker,Bluetooth Earpiece,Hotel Porter,Brown,Cigarette,High,48.779999999999994,12.194999999999999
ApeGang #9431,Magician,Bluetooth Earpiece,Groom,Cream,Beard,Alien,15.01,3.7525
ApeGang #9398,Prison Jumpsuit,Diamond Stud,Groom,Black,Cigarette,Hippie Glasses,17.12,4.28
ApeGang #9389,White Tank Top,Silver Hoop,Rabbit Ears,Brown,Angry,3D Glasses,50.57,12.6425
ApeGang #9364,Black Tank Top,Diamond Stud,Halo,Brown,Corn,Closed,50.44,12.61
ApeGang #9354,Orange Striped T-Shirt,Silver Hoop,Top Hat,Cream,Snake,Black Sunglasses,17.96,4.49
ApeGang #9338,Magician,Bluetooth Earpiece,Brain,Strong Dark Brown,Joint,Robot,18.96,4.74
ApeGang #9335,Indian,Silver Hoop,Hippie Bandana,Cheetah,Cigarette,Robot,10.65,2.6625
ApeGang #9327,Cop,Silver Hoop,Pirate,White,Grin Gold,Sad,11.95,2.9875
