,Hat,ape_id,diff,listing_price,mean,rarity
0,Banana,ApeGang #9995,0.028508447297181383,0.8,0.9458061550606061,1.72
1,Yellow NBA Headband,ApeGang #9526,0.14826049737119062,0.59,1.0655582051346153,1.8599999999999999
2,Purple Beanie,ApeGang #4604,-0.13875024704547612,0.888,0.7785474607179486,1.59
3,Nurse,ApeGang #9534,-0.10359294585866252,0.544,0.8137047619047622,1.8399999999999999
4,Top Hat,ApeGang #2400,-0.04439467746039438,0.55,0.8729030303030303,1.68
5,Party,ApeGang #9634,-0.08414532681104381,0.8,0.8331523809523809,1.7999999999999998
6,Viking Helmet,ApeGang #4640,-0.02940640341559897,0.75,0.8878913043478257,1.87
7,Stuntman Helmet,ApeGang #1616,-0.04492823130396506,0.48,0.8723694764594596,1.97
8,Green Beanie,ApeGang #9533,0.0011451757990750266,0.449,0.9184428835624997,1.66
9,Hippie Bandana,ApeGang #7496,-0.04513260946797004,0.49,0.8721650982954546,1.82
10,Bandana,ApeGang #1368,-0.05120791184505746,0.5,0.8660897959183672,1.8599999999999999
11,Pirate,ApeGang #4726,0.011561155811575241,0.54,0.9288588635749999,1.6199999999999999
12,Fisherman,ApeGang #703,-0.060851041096758096,0.575,0.8564466666666666,1.9800000000000002
13,Sombrero,ApeGang #8112,-0.12354659665231371,0.449,0.793751111111111,1.8499999999999999
14,Cap,ApeGang #8212,-0.1893548559470979,0.75,0.7279428518163268,1.7500000000000002
15,Hotel Porter,ApeGang #5510,-0.10692498049069743,0.8,0.8103727272727272,1.6400000000000001
16,Crown,ApeGang #8422,0.21887484125618306,0.8,1.1361725490196077,1.8900000000000001
17,Cowboy,ApeGang #9231,-0.06864562443009148,0.93,0.8486520833333332,1.8399999999999999
18,Laurel,ApeGang #6494,0.30847845890324177,0.54,1.2257761666666664,2.09
19,Brown Beanie,ApeGang #8685,-0.11003510703615216,0.69,0.8072626007272725,1.87
20,Red NBA Headband,ApeGang #7886,-0.09035087849513213,0.45,0.8269468292682925,2.02
21,Horn,ApeGang #3731,0.008104419896149517,0.8,0.9254021276595742,1.83
22,Rabbit Ears,ApeGang #1333,-0.07812123717518926,0.666,0.8391764705882354,1.9
23,Borsalino,ApeGang #4479,-0.23029979109675813,0.66,0.6869979166666665,2.1
24,Fireman,ApeGang #3077,-0.050977707763424585,0.92,0.8663200000000001,1.37
25,War Bonnet,ApeGang #176,-0.14207025678303242,0.6,0.7752274509803923,1.7399999999999998
26,Groom,ApeGang #4406,-0.011892579558296479,0.79,0.9054051282051282,1.7999999999999998
27,Magician,ApeGang #1191,-0.13561231403615193,0.49,0.7816853937272727,2.13
28,Military Helmet,ApeGang #8059,-0.1843789577634246,0.45,0.7329187500000001,1.78
29,Sushi Chef,ApeGang #3562,0.03658562556990852,0.8,0.9538833333333332,1.81
30,Flower Crown,ApeGang #947,-0.10865076898791459,0.45,0.8086469387755101,1.9800000000000002
31,Propeller,ApeGang #1828,-0.08246917835166001,0.7,0.8348285294117647,1.8399999999999999
32,Brain,ApeGang #4169,0.026490928600211516,0.7,0.9437886363636362,2.09
33,Halo,ApeGang #9155,-0.039158711803424784,0.8,0.8781389959599999,1.73
34,Headphone,ApeGang #2284,-0.11340581587153309,0.5,0.8038918918918916,2.0
35,Chef's,ApeGang #1781,-0.12410812443009123,0.46,0.7931895833333334,1.8800000000000001
36,Cop,ApeGang #1858,-0.09315823193733797,0.54,0.8241394758260867,1.95
37,Batman,ApeGang #5525,2.632702292236575,7.5,3.55,0.37
38,Joker Hair,ApeGang #1681,1.118952292236575,3.49,2.03625,0.36
39,Iron Man,ApeGang #5200,5.082702292236576,13.0,6.0,0.15
