,Mouth,ape_id,diff,listing_price,mean,rarity
0,Mustache,ApeGang #1340,0.1122634862664259,0.69,1.0295611940298506,3.02
1,Bubble Gum,ApeGang #1368,-0.06383437443009132,0.5,0.8534633333333334,2.8000000000000003
2,Shocked,ApeGang #6494,-0.12758006529354504,0.54,0.7897176424698796,3.17
3,Yawn,ApeGang #9533,-0.0306782272439442,0.449,0.8866194805194805,3.29
4,Baby Pacifier,ApeGang #8112,-0.00927614360552953,0.449,0.9080215641578951,3.37
5,Tongue Out,ApeGang #1616,-0.033687536490697556,0.48,0.8836101712727271,3.16
6,Grin Gold,ApeGang #3044,-0.0903935981743833,0.5,0.8269041095890414,3.09
7,Joint,ApeGang #3023,0.05006001375556235,0.85,0.967357721518987,3.25
8,Beard,ApeGang #2284,-0.12076346118808234,0.5,0.7965342465753423,3.09
9,Grin Rainbow,ApeGang #8272,-0.05733229409675811,0.5,0.8599654136666666,3.27
10,Flames,ApeGang #875,0.15130302760499637,0.7,1.068600735368421,3.4099999999999997
11,Drool Rainbow,ApeGang #9556,-0.11069187460165997,0.49,0.8066058331617647,3.26
12,Joker,ApeGang #5622,0.047836292236575484,0.55,0.9651340000000002,1.71
13,Cigarette,ApeGang #9661,-0.10285359011636575,0.55,0.8144441176470589,3.2300000000000004
14,Nose Ring,ApeGang #8059,-0.031722807110091455,0.45,0.8855749006533332,3.18
15,Smoke Pipe,ApeGang #5763,-0.03976978635553019,0.71,0.8775279214078945,3.11
16,Snake,ApeGang #947,-0.15756063485573235,0.45,0.7597370729076923,3.3000000000000003
17,Corn,ApeGang #4479,-0.09082794032156394,0.66,0.8264697674418607,3.26
18,Angry,ApeGang #7289,0.011991577950861365,0.59,0.929289285714286,3.09
19,Covid Mask,ApeGang #7496,-0.14458559893886347,0.49,0.7727121088245612,2.9000000000000004
20,Grillz,ApeGang #703,-0.013330344274294248,0.575,0.9039673634891304,3.7800000000000002
21,Oh,ApeGang #9978,-0.08586437442444173,0.46,0.831433333338983,2.86
